#zeit : 	zahl d. Durchgänge :	drehung in grad : error fehlt noch
	
		
41.3	357	3570
41.32	358	3580
41.34	358	3580
41.36	358	3580
41.38	358	3580
41.4	359	3590
41.42	359	3590
41.44	359	3590
41.46	359	3590
41.48	360	3600
41.5	360	3600
41.52	360	3600
41.54	361	3610
41.56	361	3610
41581	361	3610
41.6	361	3610
41.62	362	3620
41.64	362	3620
41.66	362	3620
41.68	363	3630
41.7	363	3630
41.72	363	3630
41.74	364	3640
41.76	364	3640
41.78	364	3640
41.8	365	3650
41.82	365	3650
41.84	365	3650
41.86	366	3660
41.88	366	3660
41.9	366	3660
41.92	366	3660
41.94	367	3670
41.96	367	3670
41.98	367	3670
42	368	3680
42.02	368	3680
42.04	368	3680
42.06	368	3680
42.08	369	3690
42.1	369	3690
42.12	369	3690
42.14	370	3700
42.16	370	3700
42.18	370	3700
42.2	370	3700
42.22	370	3700
42.24	371	3710
42.26	371	3710
42.28	371	3710
42.3	371	3710
42.32	372	3720
42.34	372	3720
42.36	372	3720
42.38	372	3720
42.4	373	3730
42.42	373	3730
42.44	373	3730
42.46	373	3730
42.48	373	3730
42.5	373	3730
42.52	373	3730
42.54	374	3740
42.56	374	3740
42.58	374	3740
42.6	374	3740
42.62	374	3740
42.64	375	3750
42.66	375	3750
42.68	375	3750
42.7	375	3750
42.72	375	3750
42.74	376	3760
42.76	376	3760
42.78	376	3760
42.8	376	3760
42.82	376	3760
42.84	377	3770
42.86	377	3770
42.88	377	3770
42.9	377	3770
42.92	378	3780
42.94	378	3780
42.96	378	3780
42.98	378	3780
43	378	3780
43.02	379	3790
43.04	379	3790
43.06	379	3790
43.08	379	3790
43.1	379	3790
43.12	380	3800
43.14	380	3800
43.16	380	3800
43.18	380	3800
43.2	380	3800
43221	381	3810
43241	381	3810
43261	381	3810
43281	381	3810
43301	381	3810
43321	381	3810
43341	382	3820
43361	382	3820
43381	382	3820
43401	382	3820
43421	382	3820
43441	382	3820
43461	382	3820
43481	382	3820
43501	383	3830
43521	383	3830
43541	383	3830
43561	383	3830
43581	383	3830
43601	383	3830
43621	383	3830
43641	383	3830
43661	383	3830
43681	383	3830
43701	383	3830
43721	383	3830
43741	383	3830
43761	383	3830
43781	383	3830
43801	384	3840
43821	384	3840
43841	384	3840
43861	384	3840
43881	384	3840
43901	384	3840
43921	384	3840
43941	384	3840
43961	384	3840
43981	384	3840
44001	384	3840
44021	385	3850
44041	385	3850
44061	385	3850
44081	385	3850
44101	385	3850
44121	385	3850
44141	386	3860
44161	386	3860
44181	386	3860
44201	386	3860
44221	386	3860
44241	387	3870
44261	387	3870
44281	387	3870
44301	387	3870
44321	387	3870
44341	388	3880
44361	388	3880
44381	388	3880
44401	388	3880
44421	389	3890
44441	389	3890
44461	389	3890
44481	389	3890
44501	390	3900
44521	390	3900
44541	390	3900
44561	391	3910
44581	391	3910
44601	391	3910
44621	392	3920
44641	392	3920
44661	392	3920
44681	392	3920
44701	393	3930
44721	393	3930
44741	393	3930
44761	393	3930
44781	394	3940
44801	394	3940
44821	394	3940
44841	395	3950
44861	395	3950
44881	395	3950
44901	396	3960
44921	396	3960
44941	396	3960
44961	397	3970
44981	397	3970
45001	397	3970
45021	398	3980
45041	398	3980
45061	398	3980
45081	399	3990
45101	399	3990
45121	400	4000
45141	400	4000
45161	400	4000
45181	401	4010
45201	401	4010
45221	402	4020
45241	402	4020
45261	402	4020
45281	403	4030
45301	403	4030
45321	404	4040
45341	404	4040
45361	404	4040
45381	405	4050
45401	405	4050
45421	406	4060
45441	406	4060
45461	407	4070
45481	407	4070
45501	408	4080
45521	408	4080
45541	409	4090
45561	409	4090
45581	410	4100
45601	410	4100
45621	410	4100
45641	411	4110
45661	411	4110
45681	412	4120
45701	412	4120
45721	413	4130
45741	413	4130
45761	414	4140
45781	414	4140
45801	415	4150
45821	416	4160
45841	416	4160
45861	417	4170
45881	417	4170
45901	418	4180
45921	419	4190
45941	419	4190
45961	420	4200
45981	420	4200
46001	421	4210
46021	421	4210
46041	422	4220
46061	423	4230
46081	423	4230
46101	424	4240
46121	424	4240
46141	425	4250
46161	426	4260
46181	426	4260
46201	427	4270
46221	428	4280
46241	428	4280
46261	429	4290
46281	430	4300
46301	430	4300
46321	431	4310
46341	432	4320
46361	432	4320
46381	433	4330
46401	434	4340
46421	434	4340
46441	435	4350
46461	436	4360
46481	436	4360
46501	437	4370
46521	438	4380
46541	438	4380
46561	439	4390
46581	440	4400
46601	440	4400
46621	441	4410
46641	442	4420
46661	442	4420
46681	443	4430
46701	444	4440
46721	445	4450
46741	445	4450
46761	446	4460
46781	447	4470
